Company,Year,MetricCode,Value,UnitRaw,MetricRaw,SourceSheet,Pillar
AUDI,2022,ENERGY_TOTAL,3416092.0,MWh,Total energy consumption4,Page 80 - A,E
AUDI,2022,GHG_TOTAL,734438.0,t CO₂e,Total GHG emissions (Scope 1 and 2)14,Page 80 - A,E
AUDI,2023,ENERGY_TOTAL,3549439.0,MWh,Total energy consumption4,Page 80 - A,E
AUDI,2023,GHG_TOTAL,771261.0,t CO₂e,Total GHG emissions (Scope 1 and 2)14,Page 80 - A,E
AUDI,2024,EMPLOYEES_FEMALE,14978.0,Number,Female employees,Page 113 - A,S
AUDI,2024,EMPLOYEES_FTE,81718.0,Number,Number of full-time employees,Page 113 - A,S
AUDI,2024,EMPLOYEES_MALE,73625.0,Number,Male employees,Page 113 - A,S
AUDI,2024,EMP_TURNOVER,2760.0,Number,Turnover,Page 114 - A,S
AUDI,2024,ENERGY_RENEWABLE,2062797.98,MWh,Total energy consumption<br/>of which from renewable energy sources,Page 107 - A,E
AUDI,2024,ENERGY_TOTAL,3246992.0,MWh,Total energy consumption4,Page 80 - A,E
AUDI,2024,GHG_TOTAL,628425.0,t CO₂e,Total GHG emissions (Scope 1 and 2)14,Page 80 - A,E
AUDI,2024,G_REPORTS_RECEIVED,907.0,Cases,Reports of possible regulatory violations (whistleblowing),Page 149 - reports of possible regulatory violations (2024),G
AUDI,2024,HNS_TRIR,10.5,Events/<br/>million h,Rate of work-related accidents<br/>for own workforce (TRIR),Page 118 - A,S
AUDI,2024,WASTE_TOTAL,421739.47,t,Total amount of waste,Page 107 - A,E
AUDI,2024,WATER_TOTAL,1220561.3,m³,Total water consumption⁶,Page 107 - A,E
HMC,2022,EMPLOYEES_FEMALE,12215.0,Person,Female employees,Page 119 - A,S
HMC,2022,EMPLOYEES_MALE,113854.0,Person,Male employees,Page 119 - A,S
HMC,2022,EMPLOYEES_TOTAL,126069.0,Person,Total employees,Page 119 - A,S
HMC,2022,ENERGY_TOTAL,7580603.0,MWh,Energy Consumption Total,Page 115 - A,E
HMC,2022,GHG_SCOPE1,719949.0,tCO₂-eq,Scope 1,Page 115 - B,E
